file_path,file_name,file_size,creation_time,modification_time,extension,image_width,image_height,dpi_x,dpi_y,exif_data,num_pages,pdf_author,pdf_title,pdf_creation_date,pdf_modification_date,num_sheets
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\.RData,.RData,1357128,2024-06-15 15:41:59,2024-06-15 15:42:00,,,,,,,,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\.Rhistory,.Rhistory,37715,2024-04-20 18:51:12,2024-06-15 15:41:58,,,,,,,,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\code_panel.Rmd,code_panel.Rmd,18611,2024-04-20 14:03:15,2024-04-20 18:48:08,Rmd,,,,,,,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\eco_index.png,eco_index.png,673650,2024-06-26 15:00:45,2024-06-26 15:00:51,png,11200.0,5600.0,799.9984,799.9984,{},,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\eco_pres.png,eco_pres.png,436313,2024-05-26 23:30:35,2024-10-16 09:39:53,png,7200.0,5600.0,799.9984,799.9984,{},,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\eco_pres_bottom.png,eco_pres_bottom.png,586881,2024-05-27 16:00:18,2024-10-16 09:42:39,png,11200.0,5600.0,799.9984,799.9984,{},,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\eco_pres_top.png,eco_pres_top.png,573991,2024-05-27 16:09:28,2024-10-16 09:42:29,png,11200.0,5600.0,799.9984,799.9984,{},,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\eco_prot.png,eco_prot.png,228351,2024-05-30 09:38:55,2024-05-30 09:38:58,png,7200.0,5600.0,799.9984,799.9984,{},,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\envpanel_lcsr.Rmd,envpanel_lcsr.Rmd,9851,2024-04-24 19:38:18,2024-06-03 19:47:50,Rmd,,,,,,,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\grants_and_protests_2018_2023.Rmd,grants_and_protests_2018_2023.Rmd,29852,2024-05-27 00:21:00,2024-10-17 20:21:53,Rmd,,,,,,,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\panel_ecodata_interaction.Rmd,panel_ecodata_interaction.Rmd,3946,2024-04-22 16:58:31,2024-04-26 12:38:58,Rmd,,,,,,,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\panel_final.pdf,panel_final.pdf,1736731,2024-10-14 15:31:14,2024-10-14 15:47:27,pdf,,,,,,5.0,Y. Stepanischeva,Long-term Effects of Democratic Governance:  Evidence from Presidential Funding in Russian Regions,2024-10-14 15:47:27,Unknown Date,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\panel_final.Rmd,panel_final.Rmd,12362,2024-10-14 15:19:23,2024-10-14 15:46:07,Rmd,,,,,,,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\panel_interaction.Rmd,panel_interaction.Rmd,2071,2024-04-22 15:35:10,2024-04-22 16:49:07,Rmd,,,,,,,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\panel_model.Rmd,panel_model.Rmd,5933,2024-04-20 18:14:07,2024-04-20 19:38:14,Rmd,,,,,,,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\panel_model_ver_01.html,panel_model_ver_01.html,2546560,2024-04-20 19:36:50,2024-04-20 19:36:51,html,,,,,,,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\panel_model_ver_01.Rmd,panel_model_ver_01.Rmd,10447,2024-04-20 19:35:31,2024-04-22 16:55:54,Rmd,,,,,,,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\poisson.png,poisson.png,199344,2024-04-25 23:38:33,2024-04-25 23:38:35,png,7200.0,5600.0,799.9984,799.9984,{},,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\poisson_by_year.png,poisson_by_year.png,314209,2024-04-25 23:37:39,2024-04-25 23:37:44,png,7200.0,5600.0,799.9984,799.9984,{},,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\protests_activatica_202223.xlsx,protests_activatica_202223.xlsx,389402,2024-05-26 19:11:50,2024-11-26 00:14:49,xlsx,,,,,,,,,,,2.0
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\protests_merged_final.csv,protests_merged_final.csv,381058,2024-04-20 13:32:24,2024-04-16 08:23:57,csv,,,,,,,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\protests_merged_utf.csv,protests_merged_utf.csv,341254,2024-04-20 14:36:43,2024-04-20 14:36:36,csv,,,,,,,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\selected_df.xlsx,selected_df.xlsx,81200,2024-04-29 15:35:32,2024-04-29 15:35:32,xlsx,,,,,,,,,,,1.0
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\siloviki_interplot.png,siloviki_interplot.png,6874,2024-04-22 16:54:22,2024-04-22 16:54:23,png,770.0,475.0,104.9782,104.9782,{},,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\siloviki_predicted.png,siloviki_predicted.png,9206,2024-04-22 16:54:38,2024-04-22 16:54:38,png,770.0,475.0,104.9782,104.9782,{},,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\tests_grants.Rmd,tests_grants.Rmd,8780,2024-05-26 22:03:58,2024-05-27 00:47:57,Rmd,,,,,,,,,,,
C:\Users\snarski\Desktop\Новая папка (5)\panel_protests\top9_eco_pres_all.png,top9_eco_pres_all.png,379532,2024-05-26 22:09:54,2024-05-26 22:10:02,png,7200.0,5600.0,799.9984,799.9984,{},,,,,,
